student_id,toan,ngu_van,ngoai_ngu,vat_ly,hoa_hoc,sinh_hoc,lich_su,dia_ly,gdcd
37002001,5.4,6.5,9.2,4.25,5,5.75,,,
37006001,6.8,8.5,5.6,,,,,8,9.5
37012001,8.4,7.75,6.6,6.25,6,4.25,,,
37004001,5.2,3.75,,,,,5.5,6.5,
37014001,5.4,7.25,7,4.25,3.75,6.5,,,
37010001,2.2,6.5,5.25,,,,,,4
37008001,6,3,3.8,,,,7.25,8,6.75
37016001,6.4,7.75,7.4,5.75,6.75,6.75,,,
37002002,9.2,7,8.2,8.75,8.75,3.75,,,
37006002,7.2,7.75,5.2,8.25,7.5,6.75,,,
37012002,5.8,7,4.6,,,,,8,7.75
37010002,4,6.75,5.75,,,,8.25,4.2,6.75
37014002,5.2,6.75,4.2,,,,7.25,7.25,6.75
37004002,5.2,6.25,5.8,,,,7.5,6.5,7.5
37008002,4,5.25,,,,,6.25,6.5,
37016002,6,7.25,5.6,6,4.25,3.5,,,
37002003,7.2,7.5,7.8,8.25,5,5,,,
37006003,7.2,5,5.4,4.25,8.5,6.75,,,
37012003,6,6.75,7.2,,,,,7.75,7.5
37010003,6,6.75,7,,,,8,4.6,6.5
37014003,4.4,4.5,1.8,,,,6.5,7,6.25
37004003,3.6,5,5.2,,,,6,8.25,7.5
37008003,4,6.75,,,,,4,6.25,
37016003,6.2,8.5,5,,,,,8.5,
37002004,6.6,5.75,7.6,,,,,6.25,5.75
37006004,3.2,6.25,4.2,,,,,5.25,7.75
37012004,5.8,6.25,4.4,,,,,8.5,8
37010004,6.6,7.5,8,,,,8.25,4.4,5.25
37014004,7.6,6.25,5.4,7.25,7.25,5.75,,,
37004004,6.4,5.75,,,,,6.5,6.25,
37016004,5.4,8,6,,,,,6.5,
37008004,2.8,5,,,,,6.25,6.75,
37002005,5.6,5.25,3.8,,,,,5.5,8.25
37006005,5.4,7,5,,,,,6,8.25
37012005,7.6,6.75,3.6,,,,,8.5,9.25
37010005,6,7.5,8.75,,,,8,4.6,7
37014005,7.8,7.25,5.2,,,,7.75,7.75,8
37004005,6,7.25,5.4,,,,7,7.75,8.5
37016005,4.6,7.25,6.6,,,,,7.75,
37008005,6.8,6.25,4,,,,7,8.25,9
37002006,4,5.75,,,,,,5,
37006006,6.4,7.5,7,5.75,5.25,6.5,,,
37012006,5.6,7.5,5.4,,,,,8.5,9
37010006,5,5.75,7.25,,,,8.25,3.8,6.75
37014006,4,7.25,4.2,,,,7.75,7.75,9.25
37004006,4.4,4,,,,,5.75,6.25,
37002007,6.6,6.25,,6.5,3.75,6,,,
37016006,8.2,8.75,8.2,,,,,6.75,
37008006,7.6,7.25,4.4,,,,7.5,8.75,9
37006007,8,8.5,8.2,,,,,8.75,9.25
37012007,5.4,6.5,4.2,,,,,6.75,9
37010007,4.8,8.25,6.75,,,,9,4,8.5
37014007,5,6.5,4.4,,,,7.75,7.75,8
37004007,5.4,7,5.4,,,,6.75,8.5,7.25
37002008,6.8,7.75,4.2,,,,,7.5,8.75
37006008,6.4,6.25,6.4,8,6.5,6,,,
37012008,5.8,7,3.2,,,,,7.25,7.25
37016007,7.2,7,4.6,,,,,7.25,
37010008,3.8,5.25,5.75,,,,6.25,3.4,2.75
37008007,3.8,3.75,,,,,5.75,7.75,
37014008,5.2,5.25,3.6,,,,5.5,7.5,7.5
37002009,8.6,6.75,7.6,,,,,7.5,7.75
37006009,6,5.5,5.6,,,,,7.25,8.25
37012009,7,6.5,4.8,7.5,5.75,6,,,
37010009,7,8,8.5,,,,9,4.4,8
37004008,4.2,5.75,5.4,,,,6.25,5.5,7.75
37016008,6.4,8.25,5.2,,,,,8,
37008008,6.8,7.5,4.8,7,7,4.75,,,
37014009,3.6,6,3,,,,4.75,6.25,7.25
37002010,6.8,5.25,5.2,,,,,5.5,6.75
37006010,7,7.25,5.8,7.25,5.75,4.75,,,
37012010,6.4,6.5,5.2,,,,,7.75,8.75
37010010,6.4,7.5,7.5,,,,8.25,4.8,6.75
37008009,7,6.25,4.8,,,,6.25,7.75,8.25
37016009,7.8,7,7.4,7,5.25,7,,,
37004009,7,7.5,,,,,7.5,7.75,
37014010,6.4,6.75,4.2,,,,7.5,7.25,8.75
37002011,4.2,4.25,,,,,,5,
37006011,5.6,6,5.8,,,,,5.75,7
37010011,7.4,8,6.25,,,,9.25,5.4,7.25
37012011,5,7.5,8,3.5,6,5,,,
37008010,1.8,1.5,,,,,5,5,
37016010,4.6,6.25,5.6,,,,,7.25,
37004010,5,6.75,5.4,,,,5.75,6.75,8
37002012,6.8,7.5,,7.75,4,5.75,,,
37014011,5.2,7.5,3.4,,,,7.5,7.75,7.25
37006012,7.4,7.5,6.4,,,,,8,8.5
37010012,4,4,4.25,,,,7.5,4,4.25
37012012,7.4,7,4.4,7,6.75,5.5,,,
37008011,6.4,6,3.8,,,,7,7.5,8.75
37016011,7.8,5.75,8.6,5.5,7.25,5.5,,,
37004011,7,8.5,5.4,,,,6,9.25,9
37002013,7,6.75,5.8,,,,,6.25,7.75
37010013,6,6.75,7.5,,,,8.25,5.6,7
37006013,5.8,8,6.8,,,,,8.25,8
37012013,7.4,7.25,4.8,4.75,6.75,7.5,,,
37014012,7.2,7.5,4.8,4.75,6,6.25,,,
37008012,4,7,4.4,,,,7.25,7.75,8.25
37016012,6.4,6.75,4.6,,,,,7,
37004012,7,6.5,4.4,,,,7,6.25,7.5
37002014,8,7.5,8.8,,,,,8,9.5
37010014,6.6,5,7.75,,,,8.5,4,5.5
37006014,7,8.25,7,,,,,7.75,9.5
37012014,5.2,6.5,4.2,,,,,6.5,8.75
37014013,5,6.5,2.8,,,,6.5,7,7
37008013,7,6.5,6.4,,,,7.75,7.5,8.75
37016013,7.8,7.25,6.4,,,,,7.25,
37002015,5.6,5.75,,,,,,5.75,
37004013,6.8,5.5,,,,,6.75,7.25,
37010015,4.8,4.25,7,,,,8.5,4.8,6.75
37006015,4.4,7,4.8,,,,,5.5,7.5
37012015,6.2,8,6,,,,,6.5,7.25
37014014,5.2,7,3.4,,,,5.75,6.5,6.25
37008014,5,5.75,,,,,6.75,6.5,
37016014,6,7,6.2,,,,,7,
37002016,7.4,7.25,5.4,5.75,7.25,5.5,,,
37010016,7.4,8,7.25,,,,9.25,4.2,8.5
37006016,7.8,7.5,4.8,5.5,8.5,8.25,,,
37012016,7,7.5,4.6,,,,,6.25,8.5
37014015,3.6,6.25,4,,,,5.75,6.75,6.5
37008015,4.2,6.5,,,,,4.75,7,
37002017,8.2,7.5,6.6,7,9,6.75,,,
37016015,8.4,7,8.4,8.5,6.75,6,,,
37010017,3.6,6.25,7.5,,,,7,4.4,6.75
